Login,Date,NbQuestions,DetailsQuestions
test,2025-09-25 17:42:03,1,"[{'Loi': '16', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}]"
test,2025-09-25 17:42:20,10,"[{'Loi': '8', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '16', 'Format': 'Question ouverte', 'Type': 'Par cœur ', 'Niveau': 'Moyen'}, {'Loi': '12', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Moyen'}, {'Loi': '4', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '9', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '11', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '8', 'Format': 'QCM', 'Type': 'Cas', 'Niveau': 'Facile'}, {'Loi': '3', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '3', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Moyen'}, {'Loi': '3', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}]"
test,2025-09-25 17:42:37,10,"[{'Loi': '9', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '5', 'Format': 'Question ouverte', 'Type': 'Procédure', 'Niveau': 'Moyen'}, {'Loi': '12', 'Format': 'Question ouverte', 'Type': 'Par cœur ', 'Niveau': 'Moyen'}, {'Loi': '13', 'Format': 'Question ouverte', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '14', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '1', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': 'Définition', 'Format': 'Question ouverte', 'Type': 'Définition', 'Niveau': 'Moyen'}, {'Loi': '12', 'Format': 'QCM', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '1', 'Format': 'Question ouverte', 'Type': 'Par cœur ', 'Niveau': 'Facile'}, {'Loi': '3', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}]"
test,2025-09-25 17:42:49,10,"[{'Loi': '11', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '3', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '15', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '16', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '13', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': 'Autre', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '11', 'Format': 'Question ouverte', 'Type': 'Par cœur ', 'Niveau': 'Difficile'}, {'Loi': '12', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '13', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}, {'Loi': '14', 'Format': 'Question ouverte', 'Type': 'Cas', 'Niveau': 'Difficile'}]"
